epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
68,4727.79,1.16825,1.8444,0.95455,1.21698,0,0.75151,0.62656,0.67817,0.4602,0.58838,0.48034,0.47671,0.29806,1.32414,1.87504,1.08091,1.32304,0,0.000587551,0.000587551,0.000587551
69,4795.52,1.16252,1.8433,0.95163,1.21689,0,0.73606,0.62631,0.6684,0.44864,0.60653,0.48041,0.48212,0.29585,1.33641,1.89058,1.08477,1.33351,0,0.000577311,0.000577311,0.000577311
70,4862.38,1.16691,1.83287,0.94448,1.21474,0,0.74646,0.6238,0.67279,0.45573,0.58975,0.47377,0.48041,0.29802,1.34347,1.89239,1.06855,1.33753,0,0.00056704,0.00056704,0.00056704
71,4930.04,1.16749,1.84249,0.94081,1.21671,0,0.73094,0.61962,0.66454,0.45125,0.59401,0.46562,0.46836,0.28847,1.33825,1.9304,1.0936,1.33797,0,0.000556742,0.000556742,0.000556742
72,4997.39,1.1746,1.84227,0.94284,1.21885,0,0.75096,0.63007,0.6784,0.46363,0.5995,0.48763,0.49054,0.30927,1.32122,1.88254,1.0648,1.3197,0,0.000546421,0.000546421,0.000546421
73,5064.66,1.1576,1.83169,0.93902,1.21455,0,0.74852,0.61662,0.66719,0.45392,0.60031,0.47254,0.48002,0.29986,1.3236,1.89266,1.07465,1.33565,0,0.000536081,0.000536081,0.000536081
74,5131.35,1.14755,1.82625,0.92804,1.20496,0,0.75291,0.62265,0.6723,0.45652,0.60323,0.48192,0.48333,0.30364,1.32743,1.88816,1.07232,1.32349,0,0.000525728,0.000525728,0.000525728
75,5198.66,1.13709,1.81489,0.92291,1.20412,0,0.75575,0.62677,0.67704,0.46309,0.61926,0.48611,0.48972,0.30806,1.31137,1.87683,1.07022,1.32199,0,0.000515366,0.000515366,0.000515366
76,5265.62,1.14693,1.84668,0.92761,1.20271,0,0.74058,0.6201,0.66469,0.45056,0.59357,0.47333,0.47353,0.29587,1.33131,1.91837,1.08808,1.33594,0,0.000505,0.000505,0.000505
77,5333.41,1.16545,1.85959,0.93632,1.21058,0,0.75513,0.62621,0.68105,0.4658,0.60423,0.48685,0.49057,0.31098,1.30929,1.86493,1.06381,1.3134,0,0.000494634,0.000494634,0.000494634
78,5401.4,1.12561,1.80991,0.89899,1.19143,0,0.75608,0.63071,0.68057,0.46433,0.61208,0.48849,0.49122,0.30993,1.3125,1.87939,1.06398,1.31928,0,0.000484272,0.000484272,0.000484272
79,5468.17,1.13072,1.76811,0.89068,1.18728,0,0.75835,0.63033,0.67327,0.45997,0.62231,0.48882,0.49159,0.30813,1.31953,1.87984,1.06102,1.32876,0,0.000473919,0.000473919,0.000473919
80,5536.18,1.14022,1.79981,0.90745,1.20113,0,0.75398,0.62878,0.67509,0.46424,0.60789,0.49019,0.48929,0.30644,1.31128,1.8694,1.04995,1.32583,0,0.000463579,0.000463579,0.000463579
81,5603.11,1.13154,1.79387,0.90471,1.19652,0,0.75124,0.63165,0.67599,0.46462,0.61164,0.48801,0.49038,0.31025,1.31065,1.88183,1.06053,1.32342,0,0.000453258,0.000453258,0.000453258
82,5670.26,1.13597,1.80042,0.89906,1.19158,0,0.76412,0.62632,0.67182,0.46443,0.60788,0.4913,0.48836,0.30865,1.31504,1.88394,1.04567,1.32436,0,0.00044296,0.00044296,0.00044296
